16:26:03	08/23/2016	Tuesday
17:14:37	08/23/2016	Tuesday
18:01:54	08/23/2016	Tuesday
10:52:51	08/24/2016	Wednesday
11:39:27	08/24/2016	Wednesday
13:21:25	08/24/2016	Wednesday
14:13:26	08/24/2016	Wednesday
15:04:18	08/24/2016	Wednesday
15:52:57	08/24/2016	Wednesday
12:20:50	08/25/2016	Thursday
15:14:59	08/25/2016	Thursday
10:28:13	08/26/2016	Friday
13:52:59	08/26/2016	Friday
14:43:11	08/26/2016	Friday
10:33:04	08/29/2016	Monday
11:47:00	08/29/2016	Monday
13:24:30	08/29/2016	Monday
14:16:48	08/29/2016	Monday
15:28:01	08/29/2016	Monday
16:17:03	08/29/2016	Monday
17:09:02	08/29/2016	Monday
17:58:30	08/29/2016	Monday
10:28:04	08/30/2016	Tuesday
11:20:04	08/30/2016	Tuesday
12:06:43	08/30/2016	Tuesday
12:57:00	08/30/2016	Tuesday
13:49:03	08/30/2016	Tuesday
14:38:21	08/30/2016	Tuesday
15:42:21	08/30/2016	Tuesday
